ElectPrice ,OilPrice ,GasPrice 
42.18,74.76,2.01
43.53,75.58,1.99
39.95,77.04,1.94
41.12,77.84,1.97
43.50,82.66,2.16
46.40,85.27,2.24
58.03,91.45,2.39
48.43,96.52,2.45
46.47,103.72,2.56
51.41,114.64,2.84
50.88,123.26,3.18
50.27,114.99,3.02
50.82,113.83,2.83
47.96,116.97,3.02
47.36,110.22,2.83
48.32,112.83,2.77
46.83,109.55,2.77
46.15,110.77,2.63
43.54,107.87,2.63
42.17,110.69,2.82
49.10,119.33,3.04
45.64,125.45,3.17
45.91,119.42,3.21
43.79,110.34,2.88
42.24,95.16,2.60
42.71,102.62,2.75
41.21,113.36,3.02
43.39,112.86,3.27
47.60,111.71,2.97
49.00,109.06,2.82
49.76,109.49,2.73
49.96,112.96,2.85
51.44,116.05,3.05
62.90,108.47,2.91
51.30,102.25,2.71
48.89,102.56,2.74
47.31,102.92,2.74
48.73,107.93,2.92
47.31,111.28,2.93
49.63,111.60,2.80
48.22,109.08,2.69
53.05,107.79,2.67
50.81,110.76,2.74
47.67,108.12,2.67
45.15,108.90,2.80
44.41,107.48,2.75
41.77,107.76,2.90
39.62,109.54,2.86
36.67,111.80,2.90
35.46,106.77,2.80
37.95,101.61,2.71
43.28,97.09,2.72
44.81,87.43,2.40
48.43,79.44,2.17
43.96,62.34,1.68
39.86,47.76,1.36
42.86,58.10,1.61
40.91,55.89,1.64
43.97,59.52,1.79
41.21,64.08,1.94
41.66,61.48,2.01
42.20,56.56,1.86
40.86,46.52,1.62
42.04,47.62,1.46
40.29,48.43,1.40
38.01,44.27,1.38
35.07,38.01,1.28
36.95,30.70,1.12
33.85,32.18,1.06
34.76,38.21,1.20
34.37,41.58,1.45
34.61,46.74,1.56
37.51,48.25,1.51
38.40,44.95,1.35
36.51,45.84,1.38
51.13,46.57,1.44
56.03,49.52,1.52
67.54,44.73,1.46
49.87,53.31,1.63
53.37,54.58,1.61
49.49,54.87,1.55
41.99,51.59,1.49
42.10,52.31,1.61
41.24,50.33,1.54
39.68,46.37,1.44
43.05,48.48,1.57
43.34,51.70,1.69
47.17,56.15,1.86
46.68,57.51,1.72
51.45,62.71,1.83
56.18,64.37,1.76
50.84,69.08,1.90
53.68,65.32,1.82
56.79,66.02,1.83
50.74,72.11,1.99
54.25,76.98,2.13
54.00,74.40,2.03
57.61,74.25,2.07
61.94,72.53,2.08
67.69,78.89,2.09
64.76,81.03,2.03
62.19,64.75,1.63
64.32,57.36,1.46
62.55,59.41,1.43
50.27,63.96,1.57
44.96,66.14,1.81
43.87,71.23,2.04
41.35,71.32,1.92
39.40,64.22,1.74
41.86,63.92,1.89
39.62,59.04,1.69
37.32,62.83,1.73
37.74,59.71,1.73
46.04,63.21,1.73
39.94,67.22,1.71
35.93,63.65,1.66
32.04,55.66,1.58
33.22,32.01,0.89
24.01,18.38,0.59
24.13,29.38,0.88
28.42,40.27,1.12
31.28,43.24,1.22
37.88,44.74,1.25
45.30,40.91,1.23
44.65,40.19,1.20
46.83,42.69,1.19
59.57,49.99,1.36
90.94,54.77,1.56
56.46,62.28,1.76
